Date	GJ-TD	GJ-D
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	0	0
3/18/2020	0	0
3/19/2020	0	0
3/20/2020	0	0
3/21/2020	0	0
3/22/2020	1	1
3/23/2020	1	0
3/24/2020	1	0
3/25/2020	2	1
3/26/2020	3	1
3/27/2020	4	1
3/28/2020	4	0
3/29/2020	5	1
3/30/2020	6	1
3/31/2020	6	0
4/1/2020	6	0
4/2/2020	7	1
4/3/2020	9	2
4/4/2020	10	1
4/5/2020	11	1
4/6/2020	12	1
4/7/2020	14	2
4/8/2020	16	2
4/9/2020	17	1
4/10/2020	19	2
4/11/2020	22	3
4/12/2020	24	2
4/13/2020	26	2
4/14/2020	28	2
4/15/2020	33	5
4/16/2020	36	3
4/17/2020	41	5
4/18/2020	53	12
4/19/2020	63	10
4/20/2020	71	8
4/21/2020	90	19
4/22/2020	103	13
4/23/2020	112	9
4/24/2020	127	15
4/25/2020	133	6
4/26/2020	151	18
4/27/2020	162	11
4/28/2020	181	19
4/29/2020	197	16
4/30/2020	214	17
5/1/2020	236	22
5/2/2020	262	26
5/3/2020	290	28
5/4/2020	319	29
5/5/2020	368	49
5/6/2020	396	28
5/7/2020	425	29
5/8/2020	449	24
5/9/2020	472	23
5/10/2020	493	21
5/11/2020	513	20
5/12/2020	537	24
5/13/2020	566	29
5/14/2020	586	20
5/15/2020	606	20
5/16/2020	625	19
5/17/2020	659	34
5/18/2020	694	35
5/19/2020	719	25
5/20/2020	749	30
5/21/2020	773	24
5/22/2020	802	29
5/23/2020	829	27
5/24/2020	858	29
5/25/2020	888	30
5/26/2020	915	27
5/27/2020	938	23
5/28/2020	960	22
5/29/2020	980	20
5/30/2020	1007	27
5/31/2020	1038	31
6/1/2020	1063	25
6/2/2020	1092	29
6/3/2020	1122	30
6/4/2020	1155	33
6/5/2020	1190	35
6/6/2020	1219	29
6/7/2020	1249	30
6/8/2020	1280	31
6/9/2020	1313	33
6/10/2020	1347	34
6/11/2020	1385	38
6/12/2020	1415	30
6/13/2020	0	0
6/14/2020	0	0
