Date	GJ-TR	GJ-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	0	0
3/18/2020	0	0
3/19/2020	0	0
3/20/2020	0	0
3/21/2020	0	0
3/22/2020	0	0
3/23/2020	0	0
3/24/2020	0	0
3/25/2020	0	0
3/26/2020	0	0
3/27/2020	0	0
3/28/2020	0	0
3/29/2020	0	0
3/30/2020	4	4
3/31/2020	6	2
4/1/2020	7	1
4/2/2020	7	0
4/3/2020	10	3
4/4/2020	14	4
4/5/2020	17	3
4/6/2020	22	5
4/7/2020	25	3
4/8/2020	25	0
4/9/2020	26	1
4/10/2020	33	7
4/11/2020	44	11
4/12/2020	44	0
4/13/2020	54	10
4/14/2020	59	5
4/15/2020	64	5
4/16/2020	73	9
4/17/2020	86	13
4/18/2020	93	7
4/19/2020	105	12
4/20/2020	131	26
4/21/2020	139	8
4/22/2020	179	40
4/23/2020	258	79
4/24/2020	265	7
4/25/2020	282	17
4/26/2020	313	31
4/27/2020	394	81
4/28/2020	434	40
4/29/2020	527	93
4/30/2020	613	86
5/1/2020	735	122
5/2/2020	896	161
5/3/2020	1042	146
5/4/2020	1195	153
5/5/2020	1381	186
5/6/2020	1500	119
5/7/2020	1709	209
5/8/2020	1872	163
5/9/2020	2091	219
5/10/2020	2545	454
5/11/2020	2780	235
5/12/2020	3246	466
5/13/2020	3562	316
5/14/2020	3753	191
5/15/2020	4035	282
5/16/2020	4308	273
5/17/2020	4499	191
5/18/2020	4804	305
5/19/2020	5043	239
5/20/2020	5219	176
5/21/2020	5488	269
5/22/2020	5880	392
5/23/2020	6169	289
5/24/2020	6412	243
5/25/2020	6636	224
5/26/2020	7139	503
5/27/2020	7549	410
5/28/2020	8003	454
5/29/2020	8611	608
5/30/2020	9232	621
5/31/2020	9919	687
6/1/2020	10780	861
6/2/2020	11894	1114
6/3/2020	12212	318
6/4/2020	12667	455
6/5/2020	13003	336
6/6/2020	13316	313
6/7/2020	13635	319
6/8/2020	13956	321
6/9/2020	14365	409
6/10/2020	14735	370
6/11/2020	15101	366
6/12/2020	15493	392
6/13/2020	0	0
6/14/2020	0	0
