Date	UP-TR	UP-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	1	1
3/10/2020	1	0
3/11/2020	1	0
3/12/2020	3	2
3/13/2020	4	1
3/14/2020	4	0
3/15/2020	4	0
3/16/2020	4	0
3/17/2020	5	1
3/18/2020	5	0
3/19/2020	9	4
3/20/2020	9	0
3/21/2020	9	0
3/22/2020	9	0
3/23/2020	9	0
3/24/2020	11	2
3/25/2020	11	0
3/26/2020	11	0
3/27/2020	11	0
3/28/2020	11	0
3/29/2020	11	0
3/30/2020	17	6
3/31/2020	17	0
4/1/2020	17	0
4/2/2020	17	0
4/3/2020	17	0
4/4/2020	21	4
4/5/2020	21	0
4/6/2020	21	0
4/7/2020	21	0
4/8/2020	31	10
4/9/2020	31	0
4/10/2020	32	1
4/11/2020	45	13
4/12/2020	45	0
4/13/2020	49	4
4/14/2020	50	1
4/15/2020	57	7
4/16/2020	68	11
4/17/2020	82	14
4/18/2020	108	26
4/19/2020	127	19
4/20/2020	140	13
4/21/2020	162	22
4/22/2020	173	11
4/23/2020	206	33
4/24/2020	226	20
4/25/2020	261	35
4/26/2020	327	66
4/27/2020	399	72
4/28/2020	462	63
4/29/2020	510	48
4/30/2020	551	41
5/1/2020	654	103
5/2/2020	698	44
5/3/2020	754	56
5/4/2020	802	48
5/5/2020	987	185
5/6/2020	1130	143
5/7/2020	1250	120
5/8/2020	1387	137
5/9/2020	1499	112
5/10/2020	1653	154
5/11/2020	1758	105
5/12/2020	1873	115
5/13/2020	1965	92
5/14/2020	2072	107
5/15/2020	2165	93
5/16/2020	2441	276
5/17/2020	2636	195
5/18/2020	2783	147
5/19/2020	2918	135
5/20/2020	3066	148
5/21/2020	3204	138
5/22/2020	3324	120
5/23/2020	3406	82
5/24/2020	3538	132
5/25/2020	3660	122
5/26/2020	3824	164
5/27/2020	3991	167
5/28/2020	4215	224
5/29/2020	4410	195
5/30/2020	4651	241
5/31/2020	4843	192
6/1/2020	5030	187
6/2/2020	5176	146
6/3/2020	5257	81
6/4/2020	5439	182
6/5/2020	5648	209
6/6/2020	5908	260
6/7/2020	6185	277
6/8/2020	6344	159
6/9/2020	6669	325
6/10/2020	6971	302
6/11/2020	0	0
6/12/2020	0	0
6/13/2020	0	0
6/14/2020	0	0
