Date	KR-TC	KR-C
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	1	1
1/31/2020	0	0
2/1/2020	1	1
2/2/2020	2	1
2/3/2020	3	1
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	8	8
3/9/2020	8	0
3/10/2020	14	6
3/11/2020	14	0
3/12/2020	19	5
3/13/2020	22	3
3/14/2020	22	0
3/15/2020	24	2
3/16/2020	27	3
3/17/2020	27	0
3/18/2020	27	0
3/19/2020	28	1
3/20/2020	40	12
3/21/2020	52	12
3/22/2020	67	15
3/23/2020	95	28
3/24/2020	109	14
3/25/2020	118	9
3/26/2020	137	19
3/27/2020	176	39
3/28/2020	182	6
3/29/2020	202	20
3/30/2020	234	32
3/31/2020	241	7
4/1/2020	265	24
4/2/2020	286	21
4/3/2020	295	9
4/4/2020	306	11
4/5/2020	314	8
4/6/2020	327	13
4/7/2020	335	8
4/8/2020	344	9
4/9/2020	356	12
4/10/2020	363	7
4/11/2020	373	10
4/12/2020	375	2
4/13/2020	378	3
4/14/2020	386	8
4/15/2020	387	1
4/16/2020	394	7
4/17/2020	395	1
4/18/2020	399	4
4/19/2020	401	2
4/20/2020	407	6
4/21/2020	426	19
4/22/2020	437	11
4/23/2020	447	10
4/24/2020	450	3
4/25/2020	457	7
4/26/2020	468	11
4/27/2020	481	13
4/28/2020	485	4
4/29/2020	495	10
4/30/2020	497	2
5/1/2020	497	0
5/2/2020	499	2
5/3/2020	499	0
5/4/2020	499	0
5/5/2020	502	3
5/6/2020	502	0
5/7/2020	502	0
5/8/2020	503	1
5/9/2020	505	2
5/10/2020	512	7
5/11/2020	519	7
5/12/2020	524	5
5/13/2020	534	10
5/14/2020	560	26
5/15/2020	576	16
5/16/2020	587	11
5/17/2020	601	14
5/18/2020	630	29
5/19/2020	642	12
5/20/2020	666	24
5/21/2020	690	24
5/22/2020	732	42
5/23/2020	794	62
5/24/2020	847	53
5/25/2020	896	49
5/26/2020	963	67
5/27/2020	1003	40
5/28/2020	1088	85
5/29/2020	1150	62
5/30/2020	1208	58
5/31/2020	1269	61
6/1/2020	1326	57
6/2/2020	1412	86
6/3/2020	1494	82
6/4/2020	1588	94
6/5/2020	1699	111
6/6/2020	1807	108
6/7/2020	1914	107
6/8/2020	2005	91
6/9/2020	2096	91
6/10/2020	2161	65
6/11/2020	2244	83
6/12/2020	2322	78
6/13/2020	2407	85
6/14/2020	0	0
