Date	UP-TC	UP-C
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	6	6
3/5/2020	7	1
3/6/2020	7	0
3/7/2020	7	0
3/8/2020	7	0
3/9/2020	8	1
3/10/2020	8	0
3/11/2020	8	0
3/12/2020	10	2
3/13/2020	11	1
3/14/2020	12	1
3/15/2020	13	1
3/16/2020	13	0
3/17/2020	15	2
3/18/2020	17	2
3/19/2020	20	3
3/20/2020	24	4
3/21/2020	28	4
3/22/2020	30	2
3/23/2020	32	2
3/24/2020	35	3
3/25/2020	38	3
3/26/2020	42	4
3/27/2020	49	7
3/28/2020	65	16
3/29/2020	72	7
3/30/2020	96	24
3/31/2020	104	8
4/1/2020	117	13
4/2/2020	128	11
4/3/2020	174	46
4/4/2020	234	60
4/5/2020	278	44
4/6/2020	305	27
4/7/2020	332	27
4/8/2020	361	29
4/9/2020	410	49
4/10/2020	433	23
4/11/2020	452	19
4/12/2020	483	31
4/13/2020	558	75
4/14/2020	660	102
4/15/2020	735	75
4/16/2020	805	70
4/17/2020	849	44
4/18/2020	975	126
4/19/2020	1100	125
4/20/2020	1184	84
4/21/2020	1337	153
4/22/2020	1449	112
4/23/2020	1510	61
4/24/2020	1621	111
4/25/2020	1793	172
4/26/2020	1873	80
4/27/2020	1986	113
4/28/2020	2053	67
4/29/2020	2134	81
4/30/2020	2211	77
5/1/2020	2328	117
5/2/2020	2487	159
5/3/2020	2645	158
5/4/2020	2766	121
5/5/2020	2880	114
5/6/2020	2998	118
5/7/2020	3071	73
5/8/2020	3214	143
5/9/2020	3373	159
5/10/2020	3467	94
5/11/2020	3573	106
5/12/2020	3664	91
5/13/2020	3758	94
5/14/2020	3902	144
5/15/2020	4057	155
5/16/2020	4258	201
5/17/2020	4464	206
5/18/2020	4605	141
5/19/2020	4926	321
5/20/2020	5175	249
5/21/2020	5515	340
5/22/2020	5735	220
5/23/2020	6017	282
5/24/2020	6268	251
5/25/2020	6497	229
5/26/2020	6724	227
5/27/2020	6991	267
5/28/2020	7170	179
5/29/2020	7445	275
5/30/2020	7701	256
5/31/2020	8075	374
6/1/2020	8361	286
6/2/2020	8729	368
6/3/2020	8870	141
6/4/2020	9237	367
6/5/2020	9733	496
6/6/2020	10103	370
6/7/2020	10536	433
6/8/2020	10947	411
6/9/2020	11335	388
6/10/2020	11610	275
6/11/2020	0	0
6/12/2020	0	0
6/13/2020	0	0
6/14/2020	0	0
