Date	IN-TD	IN-D
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	1	1
3/13/2020	2	1
3/14/2020	2	0
3/15/2020	2	0
3/16/2020	2	0
3/17/2020	3	1
3/18/2020	3	0
3/19/2020	4	1
3/20/2020	4	0
3/21/2020	4	0
3/22/2020	7	3
3/23/2020	9	2
3/24/2020	10	1
3/25/2020	10	0
3/26/2020	16	6
3/27/2020	19	3
3/28/2020	19	0
3/29/2020	27	8
3/30/2020	32	5
3/31/2020	35	3
4/1/2020	41	6
4/2/2020	53	12
4/3/2020	62	9
4/4/2020	75	13
4/5/2020	83	8
4/6/2020	111	28
4/7/2020	124	13
4/8/2020	149	25
4/9/2020	169	20
4/10/2020	206	37
4/11/2020	242	36
4/12/2020	273	31
4/13/2020	324	51
4/14/2020	353	29
4/15/2020	392	39
4/16/2020	420	28
4/17/2020	452	32
4/18/2020	488	36
4/19/2020	519	31
4/20/2020	559	40
4/21/2020	603	44
4/22/2020	652	49
4/23/2020	686	34
4/24/2020	723	37
4/25/2020	779	56
4/26/2020	826	47
4/27/2020	886	60
4/28/2020	937	51
4/29/2020	1008	71
4/30/2020	1075	67
5/1/2020	1152	77
5/2/2020	1223	71
5/3/2020	1306	83
5/4/2020	1389	83
5/5/2020	1583	194
5/6/2020	1694	111
5/7/2020	1783	89
5/8/2020	1886	103
5/9/2020	1981	95
5/10/2020	2109	128
5/11/2020	2206	97
5/12/2020	2293	87
5/13/2020	2415	122
5/14/2020	2549	134
5/15/2020	2649	100
5/16/2020	2752	103
5/17/2020	2872	120
5/18/2020	3029	157
5/19/2020	3163	134
5/20/2020	3303	140
5/21/2020	3435	132
5/22/2020	3583	148
5/23/2020	3720	137
5/24/2020	3867	147
5/25/2020	4021	154
5/26/2020	4167	146
5/27/2020	4337	170
5/28/2020	4531	194
5/29/2020	4706	175
5/30/2020	4971	265
5/31/2020	5164	193
6/1/2020	5394	230
6/2/2020	5598	204
6/3/2020	5815	217
6/4/2020	6075	260
6/5/2020	6348	273
6/6/2020	6642	294
6/7/2020	6929	287
6/8/2020	7200	271
6/9/2020	7471	271
6/10/2020	7745	274
6/11/2020	8102	357
6/12/2020	8498	396
6/13/2020	8884	386
6/14/2020	9195	311
