Date	US-TD	US-D
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	1	1
3/1/2020	2	1
3/2/2020	6	4
3/3/2020	9	3
3/4/2020	11	2
3/5/2020	11	0
3/6/2020	14	3
3/7/2020	19	5
3/8/2020	21	2
3/9/2020	26	5
3/10/2020	31	5
3/11/2020	37	6
3/12/2020	41	4
3/13/2020	49	8
3/14/2020	56	7
3/15/2020	62	6
3/16/2020	76	14
3/17/2020	97	21
3/18/2020	123	26
3/19/2020	175	52
3/20/2020	230	55
3/21/2020	298	68
3/22/2020	408	110
3/23/2020	519	111
3/24/2020	681	162
3/25/2020	906	225
3/26/2020	1159	253
3/27/2020	1592	433
3/28/2020	2039	447
3/29/2020	2431	392
3/30/2020	2985	554
3/31/2020	3806	821
4/1/2020	4746	940
4/2/2020	5821	1075
4/3/2020	7006	1185
4/4/2020	8359	1353
4/5/2020	9534	1175
4/6/2020	10746	1212
4/7/2020	12674	1928
4/8/2020	14610	1936
4/9/2020	16466	1856
4/10/2020	18544	2078
4/11/2020	20443	1899
4/12/2020	21936	1493
4/13/2020	23398	1462
4/14/2020	25776	2378
4/15/2020	28214	2438
4/16/2020	30355	2141
4/17/2020	32435	2080
4/18/2020	34178	1743
4/19/2020	35812	1634
4/20/2020	37455	1643
4/21/2020	40079	2624
4/22/2020	42198	2119
4/23/2020	44038	1840
4/24/2020	46091	2053
4/25/2020	47916	1825
4/26/2020	49077	1161
4/27/2020	50314	1237
4/28/2020	52518	2204
4/29/2020	55054	2536
4/30/2020	57137	2083
5/1/2020	58931	1794
5/2/2020	60599	1668
5/3/2020	61716	1117
5/4/2020	62593	877
5/5/2020	65028	2435
5/6/2020	67729	2701
5/7/2020	69700	1971
5/8/2020	71395	1695
5/9/2020	72950	1555
5/10/2020	73895	945
5/11/2020	74735	840
5/12/2020	76326	1591
5/13/2020	78041	1715
5/14/2020	79899	1858
5/15/2020	81423	1524
5/16/2020	82654	1231
5/17/2020	83439	785
5/18/2020	84231	792
5/19/2020	85656	1425
5/20/2020	87184	1528
5/21/2020	88470	1286
5/22/2020	89732	1262
5/23/2020	90821	1089
5/24/2020	91467	646
5/25/2020	91971	504
5/26/2020	92605	634
5/27/2020	93984	1379
5/28/2020	95200	1216
5/29/2020	96375	1175
5/30/2020	97354	979
5/31/2020	97959	605
6/1/2020	98437	478
6/2/2020	99476	1039
6/3/2020	100480	1004
6/4/2020	101389	909
6/5/2020	102238	849
6/6/2020	102963	725
6/7/2020	103411	448
6/8/2020	103902	491
6/9/2020	104828	926
6/10/2020	105675	847
6/11/2020	106501	826
6/12/2020	107259	758
6/13/2020	107913	654
6/14/2020	107913	0
