Date	US-TR	US-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	5	5
2/18/2020	5	0
2/19/2020	5	0
2/20/2020	5	0
2/21/2020	5	0
2/22/2020	5	0
2/23/2020	5	0
2/24/2020	5	0
2/25/2020	5	0
2/26/2020	6	1
2/27/2020	6	0
2/28/2020	6	0
2/29/2020	7	1
3/1/2020	9	2
3/2/2020	9	0
3/3/2020	9	0
3/4/2020	9	0
3/5/2020	9	0
3/6/2020	15	6
3/7/2020	15	0
3/8/2020	15	0
3/9/2020	15	0
3/10/2020	15	0
3/11/2020	15	0
3/12/2020	15	0
3/13/2020	16	1
3/14/2020	49	33
3/15/2020	60	11
3/16/2020	75	15
3/17/2020	107	32
3/18/2020	107	0
3/19/2020	109	2
3/20/2020	147	38
3/21/2020	171	24
3/22/2020	178	7
3/23/2020	296	118
3/24/2020	379	83
3/25/2020	394	15
3/26/2020	1864	1470
3/27/2020	2465	601
3/28/2020	3231	766
3/29/2020	4559	1328
3/30/2020	5506	947
3/31/2020	7251	1745
4/1/2020	8878	1627
4/2/2020	10403	1525
4/3/2020	12283	1880
4/4/2020	14825	2542
4/5/2020	17977	3152
4/6/2020	19573	1596
4/7/2020	21674	2101
4/8/2020	22891	1217
4/9/2020	25928	3037
4/10/2020	27314	1386
4/11/2020	30453	3139
4/12/2020	32634	2181
4/13/2020	36948	4314
4/14/2020	38820	1872
4/15/2020	48708	9888
4/16/2020	57754	9046
4/17/2020	60510	2756
4/18/2020	68285	7775
4/19/2020	71012	2727
4/20/2020	72389	1377
4/21/2020	82923	10534
4/22/2020	84050	1127
4/23/2020	85922	1872
4/24/2020	110432	24510
4/25/2020	118162	7730
4/26/2020	118781	619
4/27/2020	138990	20209
4/28/2020	142238	3248
4/29/2020	147411	5173
4/30/2020	155737	8326
5/1/2020	161563	5826
5/2/2020	173725	12162
5/3/2020	178623	4898
5/4/2020	188068	9445
5/5/2020	200628	12560
5/6/2020	213084	12456
5/7/2020	217250	4166
5/8/2020	223603	6353
5/9/2020	238078	14475
5/10/2020	256336	18258
5/11/2020	262225	5889
5/12/2020	296746	34521
5/13/2020	310259	13513
5/14/2020	318027	7768
5/15/2020	326242	8215
5/16/2020	339232	12990
5/17/2020	346389	7157
5/18/2020	356383	9994
5/19/2020	361180	4797
5/20/2020	370076	8896
5/21/2020	382169	12093
5/22/2020	403201	21032
5/23/2020	446914	43713
5/24/2020	451702	4788
5/25/2020	464670	12968
5/26/2020	479969	15299
5/27/2020	490130	10161
5/28/2020	498725	8595
5/29/2020	519569	20844
5/30/2020	535238	15669
5/31/2020	599867	64629
6/1/2020	615416	15549
6/2/2020	645974	30558
6/3/2020	688670	42696
6/4/2020	712252	23582
6/5/2020	738646	26394
6/6/2020	751894	13248
6/7/2020	761708	9814
6/8/2020	773480	11772
6/9/2020	788862	15382
6/10/2020	808494	19632
6/11/2020	816086	7592
6/12/2020	841934	25848
6/13/2020	854106	12172
6/14/2020	854106	0
