Date	US-TC	US-C
1/21/2020	1	1
1/22/2020	1	0
1/23/2020	1	0
1/24/2020	2	1
1/25/2020	3	1
1/26/2020	5	2
1/27/2020	5	0
1/28/2020	5	0
1/29/2020	5	0
1/30/2020	6	1
1/31/2020	7	1
2/1/2020	8	1
2/2/2020	11	3
2/3/2020	11	0
2/4/2020	11	0
2/5/2020	12	1
2/6/2020	12	0
2/7/2020	12	0
2/8/2020	12	0
2/9/2020	12	0
2/10/2020	12	0
2/11/2020	12	0
2/12/2020	12	0
2/13/2020	12	0
2/14/2020	12	0
2/15/2020	12	0
2/16/2020	12	0
2/17/2020	12	0
2/18/2020	12	0
2/19/2020	12	0
2/20/2020	14	2
2/21/2020	14	0
2/22/2020	14	0
2/23/2020	14	0
2/24/2020	14	0
2/25/2020	14	0
2/26/2020	15	1
2/27/2020	15	0
2/28/2020	19	4
2/29/2020	24	5
3/1/2020	42	18
3/2/2020	57	15
3/3/2020	85	28
3/4/2020	111	26
3/5/2020	175	64
3/6/2020	252	77
3/7/2020	353	101
3/8/2020	497	144
3/9/2020	645	148
3/10/2020	936	291
3/11/2020	1205	269
3/12/2020	1598	393
3/13/2020	2163	565
3/14/2020	2825	662
3/15/2020	3501	676
3/16/2020	4373	872
3/17/2020	5664	1291
3/18/2020	8074	2410
3/19/2020	12022	3948
3/20/2020	17439	5417
3/21/2020	23710	6271
3/22/2020	32341	8631
3/23/2020	42751	10410
3/24/2020	52690	9939
3/25/2020	64916	12226
3/26/2020	81966	17050
3/27/2020	101012	19046
3/28/2020	121105	20093
3/29/2020	140223	19118
3/30/2020	160686	20463
3/31/2020	185991	25305
4/1/2020	212747	26756
4/2/2020	241626	28879
4/3/2020	274151	32525
4/4/2020	307876	33725
4/5/2020	333593	25717
4/6/2020	362952	29359
4/7/2020	393464	30512
4/8/2020	425746	32282
4/9/2020	459989	34243
4/10/2020	493567	33578
4/11/2020	525436	31869
4/12/2020	553493	28057
4/13/2020	578178	24685
4/14/2020	604165	25987
4/15/2020	633630	29465
4/16/2020	665706	32076
4/17/2020	696621	30915
4/18/2020	724705	28084
4/19/2020	750718	26013
4/20/2020	775850	25132
4/21/2020	801028	25178
4/22/2020	830274	29246
4/23/2020	861551	31277
4/24/2020	897481	35930
4/25/2020	932263	34782
4/26/2020	959121	26858
4/27/2020	981163	22042
4/28/2020	1005522	24359
4/29/2020	1031391	25869
4/30/2020	1061028	29637
5/1/2020	1093992	32964
5/2/2020	1124523	30531
5/3/2020	1149905	25382
5/4/2020	1171183	21278
5/5/2020	1193409	22226
5/6/2020	1218214	24805
5/7/2020	1245728	27514
5/8/2020	1272823	27095
5/9/2020	1300244	27421
5/10/2020	1320941	20697
5/11/2020	1338720	17779
5/12/2020	1360206	21486
5/13/2020	1380755	20549
5/14/2020	1407517	26762
5/15/2020	1432899	25382
5/16/2020	1457426	24527
5/17/2020	1477157	19731
5/18/2020	1498266	21109
5/19/2020	1517928	19662
5/20/2020	1540296	22368
5/21/2020	1565324	25028
5/22/2020	1587530	22206
5/23/2020	1610247	22717
5/24/2020	1630500	20253
5/25/2020	1649054	18554
5/26/2020	1665736	16682
5/27/2020	1684372	18636
5/28/2020	1707388	23016
5/29/2020	1730963	23575
5/30/2020	1754779	23816
5/31/2020	1776463	21684
6/1/2020	1790074	13611
6/2/2020	1810113	20039
6/3/2020	1832275	22162
6/4/2020	1853279	21004
6/5/2020	1876571	23292
6/6/2020	1897436	20865
6/7/2020	1915971	18535
6/8/2020	1932272	16301
6/9/2020	1949450	17178
6/10/2020	1969696	20246
6/11/2020	1987545	17849
6/12/2020	2011966	24421
6/13/2020	2037857	25891
6/14/2020	2037857	0
